都道府県名,判定区分,総数,未着手数,完了数,着手数,未着手率(%),完了率(%),着手率(%)
三重県,Ⅲ,59,30,26,33,50.84745762711864,44.06779661016949,55.932203389830505
京都府,Ⅲ,37,23,3,33,62.16216216216216,8.108108108108109,89.1891891891892
佐賀県,Ⅲ,2,1,1,1,50.0,50.0,50.0
兵庫県,Ⅲ,55,27,20,35,49.09090909090909,36.36363636363637,63.63636363636363
北海道,Ⅲ,170,84,38,132,49.411764705882355,22.35294117647059,77.64705882352942
千葉県,Ⅲ,114,50,27,87,43.859649122807014,23.684210526315788,76.31578947368422
和歌山県,Ⅲ,103,30,47,56,29.126213592233007,45.63106796116505,54.36893203883495
埼玉県,Ⅲ,20,11,7,13,55.00000000000001,35.0,65.0
大分県,Ⅲ,141,50,24,117,35.46099290780142,17.02127659574468,82.97872340425532
大阪府,Ⅲ,20,8,10,10,40.0,50.0,50.0
奈良県,Ⅲ,55,25,8,47,45.45454545454545,14.545454545454543,85.45454545454545
宮城県,Ⅲ,64,4,30,34,6.25,46.875,53.125
宮崎県,Ⅲ,41,13,19,22,31.70731707317073,46.34146341463415,53.65853658536586
富山県,Ⅲ,47,21,11,36,44.680851063829785,23.404255319148938,76.59574468085107
山口県,Ⅲ,122,45,36,86,36.885245901639344,29.50819672131147,70.49180327868852
山形県,Ⅲ,53,22,18,35,41.509433962264154,33.9622641509434,66.0377358490566
山梨県,Ⅲ,45,17,12,33,37.77777777777778,26.666666666666668,73.33333333333333
岐阜県,Ⅲ,128,56,43,85,43.75,33.59375,66.40625
岡山県,Ⅲ,79,24,35,44,30.37974683544304,44.303797468354425,55.69620253164557
岩手県,Ⅲ,118,34,41,77,28.8135593220339,34.74576271186441,65.2542372881356
島根県,Ⅲ,121,35,41,80,28.92561983471074,33.88429752066116,66.11570247933885
広島県,Ⅲ,188,93,53,135,49.46808510638298,28.191489361702125,71.80851063829788
徳島県,Ⅲ,67,20,28,39,29.850746268656714,41.7910447761194,58.2089552238806
愛媛県,Ⅲ,123,42,43,80,34.146341463414636,34.959349593495936,65.04065040650406
愛知県,Ⅲ,36,13,13,23,36.11111111111111,36.11111111111111,63.888888888888886
新潟県,Ⅲ,146,76,28,118,52.054794520547944,19.17808219178082,80.82191780821918
東京都,Ⅲ,40,36,3,37,90.0,7.5,92.5
栃木県,Ⅲ,20,7,8,12,35.0,40.0,60.0
沖縄県,Ⅲ,9,5,3,6,55.55555555555556,33.33333333333333,66.66666666666666
滋賀県,Ⅲ,11,9,1,10,81.81818181818183,9.090909090909092,90.9090909090909
熊本県,Ⅲ,75,49,3,72,65.33333333333333,4.0,96.0
石川県,Ⅲ,37,25,7,30,67.56756756756756,18.91891891891892,81.08108108108108
神奈川県,Ⅲ,43,19,6,37,44.18604651162791,13.953488372093023,86.04651162790698
福井県,Ⅲ,81,17,37,44,20.98765432098765,45.67901234567901,54.32098765432099
福岡県,Ⅲ,11,2,8,3,18.181818181818183,72.72727272727273,27.27272727272727
福島県,Ⅲ,128,62,32,96,48.4375,25.0,75.0
秋田県,Ⅲ,65,24,25,40,36.92307692307693,38.46153846153847,61.53846153846154
群馬県,Ⅲ,69,34,31,38,49.275362318840585,44.927536231884055,55.072463768115945
茨城県,Ⅲ,12,4,2,10,33.33333333333333,16.666666666666664,83.33333333333334
長崎県,Ⅲ,55,24,26,29,43.63636363636363,47.27272727272727,52.72727272727272
長野県,Ⅲ,128,62,28,100,48.4375,21.875,78.125
青森県,Ⅲ,14,2,7,7,14.285714285714285,50.0,50.0
静岡県,Ⅲ,115,57,30,85,49.56521739130435,26.08695652173913,73.91304347826086
香川県,Ⅲ,9,2,2,7,22.22222222222222,22.22222222222222,77.77777777777779
高知県,Ⅲ,95,26,33,62,27.368421052631582,34.73684210526316,65.26315789473685
鳥取県,Ⅲ,26,7,12,14,26.923076923076923,46.15384615384615,53.84615384615385
鹿児島県,Ⅲ,61,21,6,55,34.42622950819672,9.836065573770492,90.1639344262295
