0,種類,トンネル名,(ﾌﾘｶﾞﾅ),路線名,区分,管理者名,"管理事務所名
（地公体は任意）",都道府県名,市区町村名,緯度,経度,"建設年度
（西暦 4桁）","供用年度
（西暦 4桁）",延長（ｍ）,幅員（ｍ）,年度,判定区分,措置状況
,トンネル,京上トンネル,(ｷｮｳｼﾞｮｳﾄﾝﾈﾙ),国道439号,都道府県,徳島県,西部総合県民局(三好),徳島県,三好市,33.86192度,133.90099度,2001,2003,1023,8.5,2023年度,Ⅲ,措置未着手
,トンネル,石塚トンネル,(ｲｼﾂﾞｶﾄﾝﾈﾙ),国道45号,国,東北地方整備局,南三陸沿岸国道事務所,岩手県,釜石市,39.22133度,141.87493度,1969,,1351,8.6,2023年度,Ⅲ,措置着手済み
,トンネル,ずみの窪トンネル,(ｽﾞﾐﾉｸﾎﾞﾄﾝﾈﾙ),国道158号,都道府県,長野県,松本建設事務所,長野県,松本市,36.13583度,137.72639度,1966,,427.6,6,2019年度,Ⅲ,措置未着手
,トンネル,滝川トンネル（１号）,(ﾀｷｶﾞﾜﾄﾝﾈﾙ),県道小野･富岡線,都道府県,福島県,富岡土木事務所,福島県,富岡町,37.35398度,140.9133度,2001,,702,0,2022年度,Ⅲ,措置完了済み
,トンネル,大黒岩隧道,(ｵｵｸﾞﾛｲﾜｽﾞｲﾄﾞｳ),村道羽沢桧沢線,市区町村,南牧村,振興整備課,群馬県,南牧村,36.14167度,138.67083度,1984,1984,50,6.6,2022年度,Ⅲ,措置未着手
,トンネル,丹奈トンネル,(ﾀﾝﾅﾄﾝﾈﾙ),国道384号,都道府県,長崎県,五島振興局,長崎県,五島市,32.69028度,128.66444度,1980,,580,0,2019年度,Ⅲ,措置完了済み
,トンネル,鬼田トンネル,(ｵﾝﾀﾞﾄﾝﾈﾙ),市道中央線,市区町村,竹田市,竹田市,大分県,竹田市,32.99497度,131.38458度,,,50.1,0,2021年度,Ⅲ,措置着手済み
,トンネル,八木沢トンネル,(ﾔｷﾞｻﾜﾄﾝﾈﾙ),県道原町・川俣線,都道府県,福島県,福島県　相双建設事務所,福島県,南相馬市,37.6892度,140.82583度,2017,,2345,0,2020年度,Ⅲ,措置未着手
,トンネル,芋ノ尾トンネル,(ｲﾓﾉｵﾄﾝﾈﾙ),県道床木海崎停車場線,都道府県,大分県,佐伯土木事務所,大分県,佐伯市,32.99711度,131.86643度,1997,,70,0,2022年度,Ⅲ,措置着手済み
,トンネル,大平トンネル,(ｵｵﾋﾗﾄﾝﾈﾙ),国道445号,都道府県,熊本県,球磨地域振興局,熊本県,五木村,32.37333度,130.83917度,1990,,384,0,2023年度,Ⅲ,措置未着手
